time in seconds,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Rcarz
1.224951,839091113,-113.3519058,-20.82615852,49.2796669,3.101854801,-8.519886017,-3.971125603,6.510332584,-5.270180702,4.242934227,981.11377
1.233284,839099446,-113.3304367,-20.76634598,49.29341507,3.091169357,-8.542938232,-3.992237329,5.164842606,-5.093801498,5.395191193,980.991638
1.241617,839107779,-113.303566,-20.69809532,49.30091858,3.032722235,-8.37749958,-3.967809677,5.176418781,-5.036500931,6.659354687,980.896362
1.24995,839116112,-113.2834625,-20.62698746,49.30432129,3.041854382,-8.601630211,-3.966190815,4.55901432,-4.556926727,7.09861517,980.827881
1.258283,839124445,-113.2556915,-20.55813026,49.30612183,2.797879219,-8.56972599,-3.760125875,5.042327881,-4.471860886,6.980890751,980.784912
1.266616,839132778,-113.2299881,-20.48186111,49.31415939,2.862267256,-8.554487228,-3.758538246,5.423289776,-5.270795345,7.464309216,980.764282
1.274949,839141111,-113.2044296,-20.40214157,49.32322693,2.898053169,-8.540086746,-3.77699995,5.079162121,-5.728957176,7.858895779,980.761047
1.283282,839149444,-113.1902695,-20.31705093,49.33370972,2.940032959,-8.500289917,-3.7586236,4.140144825,-5.937278271,8.323513985,980.769409
1.291615,839157777,-113.1735992,-20.22951317,49.33996964,3.001405239,-8.634682655,-3.890955448,3.894760132,-5.803110123,8.847168922,980.783875
1.299948,839166110,-113.1588745,-20.14250374,49.34422302,3.04956007,-8.499412537,-3.847755432,3.942838192,-5.381090164,8.807826996,980.799561
1.308281,839174443,-113.1493149,-20.0534153,49.35335541,3.068970203,-8.632658005,-3.838481903,3.156659842,-6.172441959,8.89453125,980.812256
1.316614,839182776,-113.1369095,-19.96116638,49.36822891,3.054952383,-8.656208992,-3.858260393,4.09829092,-6.726274014,8.911924362,980.818542
1.324947,839191109,-113.1173172,-19.87477112,49.38090134,3.116954088,-8.718812943,-4.010452271,4.502304077,-6.407170296,8.443693161,980.816345
